Company Name,Similar Name,Same/Different,Category,Country same or not,Parent same or not,Unnamed: 6,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,different,last word different,different,different,,79,100,79,100
COMMISSIONER OF PUBLIC WORKS,COMMISSIONERS OF PUBLIC WORKS,same,mispell,same,same,,98,96,98,98
COMMONWEALTH BANK,COMMONWEALTH CAPITAL,different,last word different,different,different,,76,88,76,83
COMMONWEALTH LAND TITLE,COMMONWEALTH LAND TITLE INSURANCE,same,one word missing,same,same,,82,100,82,100
COMMONWEALTH COURT OF PA,COMMONWEALTH COURT OF PENNSYLVANIA,same,short form,same,same,,83,98,83,93
2MI INFORMATICA,2MI TECNOLGOIA E INFORMATICA,same,first and last word similar,same,different,,70,89,70,100
2S INOVACOES TECNOLOGICAS,2S INOVACOES TECNOLOGICAS,same,exact same ,same,different,,100,100,100,100
3M COGENT,3M CANADA,different,last word different,different,same,,56,67,56,56
83 FWS,83 FWS DO4,same,one word missing,same,same,,75,100,75,100
A R,A R ENGINEERING,same,one word missing,same,same,,33,100,33,100
A F L A C AGENT,A F L A C,same,one word missing,same,same ,,75,100,75,100
AAM INCORPORADORA IMOVEIS L,AAM INCORPORADORA IMOVEIS,same,one character missing ,same,same,,96,100,96,100
ABACUS IT,ABACUS SETTLEMENTS,different,last word different,same,same,,59,88,59,80
ABBOTT LABOROTORIES,ABBOTT LABS,same,short form,same,same,,73,95,73,73
ABC NEWS,ABC NEWS RADIO,same,one word missing,same,same,,73,100,73,100
ACCIDENT FUND,ACCIDENT FUND,different,exact same ,same,different ,,100,100,100,100
ACE BERMUDA INSURANCE,ACE BERMUDA INSURANCE,different,exact same ,same,different ,,100,100,100,100
1 ACOS,1 ACOS/SCOT,same,last word different,same,same,,71,100,71,100
3S NETWORKS EIRELI,3S NETWORKS ME,different,last word different ,same,different,,81,96,81,88
A P TECHNOLOGY,A M TECHNOLOGY,different,one char different ,same,different,,93,93,93,93
A R,A R ENGINEERING,same,last word missing,same,same,,33,100,33,100
A ANGELONI COMPANHIA,A ANGELONI CIA,same,last word different ,same,different,,82,92,82,83
ADAMS KEEGAN,ADAMS FOAM,different,last word different,same,different,,64,75,64,67
ADAPTIVE OPTICS,ADAPTIVE OPTICS ASSOCIATES,same,extra word last,same,same,,73,100,73,100
ADAPTIVE OPTICS,ADAPTIVE INSIGHTS,different,last word different ,same,different,,69,81,69,70
ADCO INDUSTRIES,ADCO GROUP,different,last word different ,same,different,,48,67,48,57
ADCOS INDUSTRIAL E COMERCIO,ADCOS INDUSTRIA E COMERCIO,same,misspell,same,same,,98,96,98,98
ADDOC ADMINISTRACION DOCUMENTOS,ADDOC,same,extra words,same,same,,28,100,28,100
ADECCO USA,ADECCO TERTIAIRE,same,last word different,same,same,,62,82,62,75
ADEMCO RES HEADQUARTERS US,ADEMCO,same,extra words,same,same,,38,100,38,100
ADEXUS PERU,ADEXUS PERU A,same,extra words,same,same,,92,100,92,100
ADEXUS PERU,ADEXUS CHILE,different,last word different,different,different,,70,78,70,71
ADIDAS CHILE,ADIDAS ARGENTINA,different,last word different,different,different,,57,74,57,67
ADIDAS CHILE ,ADIDAS CHILE SUCURSAL DEL PERU,different,extra words,different,different,,60,100,57,100
ADISTEC BOLIVIA,ADISTEC ARGENTINA,different,last word different,different,different,,62,75,62,64
ADISTEC MIAMI,ADISTEC ECUADOR,different,last word different,different,different,,64,76,64,70
ADITIVOS MEXICANOS ADITIVOS MEXICANOS,ADITIVOS MEXICANOS,same,extra words,same,same,,65,100,65,100
ADM PARAGUAY SRL ADM PARAGUAY,ADM PARAGUAY SRL,different,extra words,same,different,,71,100,71,100
ADMINISTRACIAAN PORTUARIA INTEGRAL MANZANILLO,ADMINISTRACIAAN PORTUARIA INTEGRAL ENSENADA,different,last word different,same,different,,84,90,77,88
ADMINISTRACION COMPENSACIONES POR ACCIDENTES AUTOMOVILES,ADMINISTRACION COMPENSACION POR ACCIDENTES AUTOMOVILES,same,one word differnt,same,same,,98,96,98,98
ADMINISTRACION SEGUROS SALUD PR,ADMINISTRACION SEGUROS SALUD,same,extra words,same,same,,95,100,95,100
ADMINISTRACION SEGUROS DESALUD PUERTO RICO,ADMINISTRACION SEGUROS SALUD PUERTO RICO,same,misspell,same,same,,98,95,83,98
ADITUS SRL,ADIUM PHARMA,different,last word different,different,different,,55,62,55,55
ADMINISTRACION FEDERAL INGRESOS PUBLICOS,ADMINISTRACION FEDERAL INGRESOS PUBLICOSAFIP,different,last word different,same,same,,95,100,95,95
ADMINISTRACION GENERAL PUERTOS,ADMINISTRACION GENERAL PUERTOS SE,same,one word extra,same,same,,95,100,95,100
ADMINISTRATIVE OFFICE OF US COURTS,ADMINISTRATIVE OFFICE OF UNITED STATES COURTS,same,short form used,same,same,,86,87,84,95
ADVANCED COMMUNICATION TECHNOLOGIES,ADVANCED COMMUNICATIONS TECHNOLOGY,same,plural forms used,same,same,,93,97,93,93
ADVANCED MICRO SERVICES,ADVANCED MICRO DEVICES,different,last word different,same,same,,93,91,67,93
ADVANCED SCIENCES TECHNOLOGY,ADVANCED SCIENCE TECHNOLOGIES,different,plural forms used,different,different,,91,96,91,91
ADVANSIX CHESTERFIELD PLANT ADVANSIX,ADVANSIX CHESTERFIELD PLANT,same,extra  words,same,same,,86,100,86,100
ADVENTIST HEALTH CARE,ADVENTIST HEALTH CARE ADVENTIST HEALTH SYSTEM/SUNBELT,same,extra words ,same,same,,57,100,57,100
ADVENTIST HEALTH SYSTEM SUNBEL,ADVENTIST HEALTH SYSTEM SUNBELT,same,mis spell,same,same,,98,100,98,98
ADVOCATE HEALTH AND HOSPITALS A,ADVOCATE HEALTH AND HOSPITALS,same,extra character,same,same,,97,100,97,100
ADVOCATE HEALTH CARE NETWORK A,ADVOCATE HEALTH CARE NETWORK,same,extra character,same,same,,97,100,97,100
AEG WORLDWIDE PO 23598,AEG WORLDWIDE PO 24090,different,different numbers,same,same,,86,90,86,86
AEGON DIRECT MARKETING SERVICES,AEGON DIRECT MARKETING SERVICE,same,plural forms used/mis spell,same,same,,98,100,98,98
AEQUITAS INNOVATIONS C O Q9,AEQUITAS INNOVATIONS,same,extra character,same,same,,85,100,85,100
AEROJET ROCKETDYNE HOLDINGS,AEROJET ROCKETDYNE OPERATIONS,same,last word different,same,same,,82,85,82,82
AFFILIATED COMPUTER SERVICES,AFFILIATED COMPUTER SERVICES I,same,extra character,same,same,,97,100,97,100
AGENCE METROPOLITAINE TRANSPORTATION,AGENCE METROPOLITAINE TRANSPORTATION RSEAU TRANSPORT MTROPOLITAIN,same,extra words,same,same,,71,100,71,100
AGENCIA BRASILEIRA INTELIGENCIA ABIN,AGENCIA BRASILEIRA INTELIGENCIA,same,extra words,same,different,,93,100,93,100
AFLAC DISTRICT OFFFICE,AFLAC DISTRICT OFFICE,same,mis spell,same,same,,98,95,98,98
AFLAC DISTRICT SALES OFFICE,AFLAC DISTRICT SALES SERVICE,same,last word different,same,same,,87,88,73,87
AFLAC REGINAL OFFICE,AFLAC REGIONAL OFFICE,same,mis spell,same,same,,98,95,98,98
SERVICIO EXTREMENO SALUD,SALUD EXTREMADURA,same,1st word missing / sequence changed,,same,,49,55,59,63
SERVICIO EXTREMENO SALUD,JUNTA EXTREMADURA,same,2 words missing,,same,,44,55,44,44
HASBRO AUSTRALIA,HASBRO,same,2nd word missing,,same,,55,100,55,100
HASBRO AUSTRALIA,HASBRO HASBRO,same,last word different,,same,,69,80,69,100
HASBRO AUSTRALIA,HASBRO INTERNATIONAL,same,last word different,,same,,67,69,39,67
AMICORP MANAGEMENT INDIA,AMICORP HOLDING,different,last 2 words different,different,different,,51,71,62,64
AMICORP MANAGEMENT INDIA,AMICORP HOLDINGS,different,last 2 words different,different,different,,50,69,60,61
AMICORP HOLDING,AMICORP HOLDINGS,same,last character missing,,same,,97,100,97,97
INDITEX,INDITEX_SA,same,extra characters,,same,,82,100,82,100
MANTECH INTERNATIONAL,MANTECH MBI,different,,same,same,Subsidiary/Child companies,56,90,44,78
MANTECH INTERNATIONAL,MANTECH MSM SECURITY SERVICES,different,,same,same,Subsidiary/Child companies,52,56,32,52
MANTECH INTERNATIONAL,MANTECH SECURITY,different,,same,same,Subsidiary/Child companies,59,74,38,61
MANTECH INTERNATIONAL,MANTECH SECURITY TECHNOLOGIES,different,,same,same,Subsidiary/Child companies,56,63,40,56
MANTECH INTERNATIONAL,MANTECH TELECOMMUNICATIONS AND INFORMATION SYSTEMS,different,,same,same,Subsidiary/Child companies,48,69,45,51
MANTECH INTERNATIONAL,MANTECH,different,,same,same,Subsidiary/Child companies,50,100,50,100
MANTECH INTERNATIONAL,MANTECH FEDERAL,different,,same,same,Subsidiary/Child companies,67,73,67,67
MANTECH INTERNATIONAL,MANTECH ADVANCED SYSTEMS INTERNATIONAL,different,,same,same,Subsidiary/Child companies,71,82,71,100
MANTECH INTERNATIONAL,MANTECH COMMAND CONTROL SYSTEMS,different,,same,same,Subsidiary/Child companies,50,59,50,50
MANTECH INTERNATIONAL,MANTECH CYBER SOLUTIONS INTERNATIONAL,different,,same,same,Subsidiary/Child companies,72,81,72,100
MANTECH INTERNATIONAL,MANTECH ELECTRONICS INTEROPERABILITY SERVICES,different,,,,Subsidiary/Child companies,48,65,48,50
CSX,CSX INTERMODAL,different,,,,Subsidiary/Child companies,35,100,35,100
CSX,CSX TECHNOLOGY,different,,,,Subsidiary/Child companies,35,100,35,100
CSX,CSX TRANSPORTATION,different,,,,Subsidiary/Child companies,29,100,29,100
CSX,CAMBODIA SECURITIES EXCHANGE (CSX),different,only abbreviation match,different,different,,16,100,17,100
AL RUYA BILINGUAL SCHOOL,NEW HORIZONS BILINGUAL SCHOOL,different,2 words different,different,different,,72,83,68,80
AL RUYA BILINGUAL SCHOOL,SAINT PATRICK BILINGUAL SCHOOL,different,2 words different,different,different,,74,83,70,80
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEM,same,last character missing,same,same,,98,100,98,98
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN NORTHROP GRUMMAN SYSTEMS,same,extra word,same,same,,74,100,74,100
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS COR,same,extra word,same,same,,92,100,92,100
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS CORPORATIO,same,extra word,same,same,,81,100,81,100
NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS NORTHROP GRUMMAN,same,extra word,same,same,,74,100,74,100
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY INDIA,same,,same,,,74,86,74,82
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY SERVICES,different,,different,,,100,100,100,100
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY NORGE AS,different,,different,different,,78,82,74,78
DXC TECHNOLOGY SERVICES,DXC TECHNOLOGY SPAIN,different,,different,different,,79,89,79,82
DXC TECHNOLOGY,DXC TECHNOLOGIES,same,extra characters,same,same,,87,96,87,87
DXC TECHNOLOGY,DXC TECHNOLOGIES INDIA,different,last word different,different,same,,72,96,72,72
DXC TECHNOLOGY,DXC TECHNOLOGY (M) SDN,same,last words different,same,same,,78,100,82,100
DXC TECHNOLOGY,DXC TECHNOLOGY (VPC OPERATIONS),different,last words different,different,same,,62,100,65,100
DXC TECHNOLOGY,DXC TECHNOLOGY (VPC OPERATIONS) ESHELTER FACILITY SERVICES GMBH,different,last words different,different,same,,36,100,37,100
DXC TECHNOLOGY AUSTRALIA PTY,DXC TECHNOLOGY AUSTRALIA PTY,different,,different,same,,100,100,100,100
DXC TECHNOLOGY GERMANY DATACENTER E43,DXC TECHNOLOGY SPAIN,different,,different,same,,60,86,60,82
DXC TECHNOLOGY GERMANY DATACENTER E43,DXC TECHNOLOGY (VPC OPERATIONS) ESHELTER FACILITY SERVICES GMBH,same,last words different,same,same,,54,63,51,55
SAMSUNG AUSTIN SEMICONDUCTOR,SAMSUNG ,different,last 2 words missing,same,same,Subsidiary/Child companies,44,100,40,100
SAMSUNG AUSTIN SEMICONDUCTOR,SAMSUNG ELECTRONICS (SUZHOU) SEMICONDUCTOR,different,,different,same,Subsidiary/Child companies,69,69,71,86
SAMSUNG CARD,SAMSUNG,different,last word missing,different,same,,74,100,74,100
INSTITUTO NACIONAL TRAUMATOLOGIA E ORTOPEDIA INTO,INSTITUTO NACIONAL VIAS INVIAS,different,last words missing,different,different,,61,78,61,75
INSTITUTO NACIONAL TRAUMATOLOGIA E ORTOPEDIA INTO,INSTITUTO NACIONAL TECNOLOGIA INDUSTRIAL,different,last words missing,different,different,,67,74,63,74
OHIO WESLEYAN UNIVERSITY,OHIO STATE UNIVERSITY,different,1 word different,same,different,,80,71,67,83
OHIO WESLEYAN UNIVERSITY,OHIO STATE UNIVERSITY MEDICAL CENTER,different,2 words different,same,different,,60,80,50,77
OXYA,LA POSTE OXYA,different,only last word matching,different,different,,47,100,47,100
OXYA,OXYA,different,,different,same,,100,100,100,100
OXYA,OXYA,different,,same,different,,100,100,100,100
ANHEUSER BUSCH,ANHEUSER BUSCH ANHEUSERBUSCH INCORPORATED,same,extra last 2 words ,same,same,,51,100,51,100
ANHEUSER BUSCH,ANHEUSERBUSCH,same,missing space,same,same,,96,92,96,96
ANHEUSER BUSCH,ANHEUSERBUSCH COMPANIES,same,missing space and 1 extra word,same,same,,70,96,70,70
ANHEUSER BUSCH,ANHEUSERBUSCH INBEV,different,,different,same,,79,96,79,79
ANHEUSER BUSCH,ANHEUSERBUSCH INBEV ?CHINA?,different,,different,same,,63,96,67,67
EQUIFAX CANADA,EQUIFAX CANADA,different,,different,same,,100,100,100,100
EQUIFAX CANADA,EQUIFAX,different,,different,different,,67,100,67,100
TRIBUNAL JUSTICA DO DISTRITO FEDERAL E TERRITORIOS TJDFT,TRIBUNAL JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS,same,last word missing,same,same,,91,96,91,96
TRIBUNAL JUSTICA DO DISTRITO FEDERAL E TERRITORIOS TJDFT,TRIBUNAL JUSTICA DO DISTRITO FEDERAL,same,last 2 words missing,same,same,,78,100,78,100
BANFIELD PET HOSPITAL,BANFIELD HOSPITAL,same,1 word missing,same,same,,89,76,89,100
INTERMEDIA,INTERMEDIX,different,last characters different,same,different,,90,95,90,90
INTERMEDIA,INTERMEDIA COMUNICACIONES,different,last word different,different,different,,57,100,57,100
INTERMEDIA,INTERMEDIA HOLDINGS,different,last word different,same,same,Subsidiary/Child companies,69,100,69,100
INTERMEDIA,INTERMEDIA NET,different,last word different,same,same,Subsidiary/Child companies,83,100,83,100
INTERMEDIA,INTERMEDIA PARTNERS,different,last word different,same,same,Subsidiary/Child companies,69,100,69,100
SASKATCHEWAN GOVERNMENT INSURANCE,SASKATCHEWAN GOVERNMENT,same,last word missing,same,same,,82,100,82,100
SASKATCHEWAN GOVERNMENT INSURANCE,SASKATCHEWAN GOVERNMENT I,same,last word missing,same,same,,86,100,86,96
BOC INTERNATIONAL HOLDINGS,BOC INTERNATIONAL HONG KONG,same,last word different,same,same,,83,92,83,83
BOC INTERNATIONAL HOLDINGS,BOC HONG KONG (HOLDINGS),same,,same,same,,64,59,67,71
BOC INTERNATIONAL HOLDINGS,BOC HONG KONG (GROUP) (HK),same,last words missing,same,same,,38,51,46,46
NOKIA SHANGHAI BELL,NOKIA SIEMENS NETWORKS (SHANGHAI),same,1 word extra,same,same,,54,65,64,85
SEOCHO GU OFFICE,SEOCHOGU OFFICE,same,without space,same,same,,97,93,84,84
SEOCHO GU OFFICE,SEODAEMUNGU OFFICE,same,spelling different,same,same,,71,72,59,59
SEOCHO GU OFFICE,SEODAEMUNGU CITY MANAGEMENT PUBLIC,same,spelling different,same,same,,36,48,32,32
EMIRATES NBD,EMIRATES NBD,different,,different,different,,100,100,100,100
EMIRATES NBD,EMIRATES NBD BANK,different,,different,different,,83,100,83,100
EMIRATES NBD,EMIRATES OF SAUDI ARABIA,different,,same,,,56,86,56,80
YINZHOU BANK,NINGBO YINZHOU RURAL COMMERCIAL BANK,same,,same,same,,50,75,50,100
BUREAU VERITAS MALI,BUREAU VERITAS,different,,different,same,,85,100,85,100
BUREAU VERITAS MALI,BUREAU VERITAS HOLDINGS,different,,different,same,,81,88,81,85
CPC TAIWAN,CPC FINANCE,different,only 1 word matching,different,different,,67,74,67,67
CPC TAIWAN,CROWN PRINCE COURT CPC,different,only 1 word matching,different,different,,31,46,38,46
SWISSCOM SCHWEIZ AG,SWISSCOM (SCHWEIZ) AG,same,,same,same,,95,89,100,100
SWISSCOM SCHWEIZ AG,SWISSCOM AG,same,1 word missing,same,same,,73,90,73,100
SWISSCOM SCHWEIZ AG,SWISSCOM,same,2 word missing,same,same,,59,100,59,100
SYSTEX CORPORARTION,SYSTEX,same,1 word missing,same,same,,48,100,48,100
SYSTEX CORPORARTION,SYTEX,different,,different,different,,42,80,42,42
SYSTEX CORPORARTION,SYTEX GROUP,different,,different,different,,53,73,53,53
MITAC COMPUTERKUNSHAN,MITAC COMPUTER (SHUNDE),different,,same,different,,77,83,67,81
MEO SERVICOS COMUNICACOES EMULTIMEDIA,MEO,same,3 words missing,same,same,,15,100,15,100
SAUR,SAUR FRANCE,same,1 word extra,same,same,,53,100,53,100
SAUR,SAUR STEREAU,same,1 word extra,same,same,,50,100,50,100
DC OFFICE OF CHIEF TECHNOLOGY OFFICER,DC OFFICE OF CTO,same,abbreviation,same,same,,60,93,53,86
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH FJ GCF FI EMEIA,same,extra words at end,same,same,,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH FJ GCF FI EMEIAR,same,extra words at end,same,same,,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH FTS ORDER FULFIL,same,extra words at end,same,same,,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS GMBH HERR MARC JUNGEN,same,extra words at end,same,same,,80,100,80,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TECHNOLOGY SOLUTIONS,same,last word missing,same,same,,92,100,92,100
FUJITSU TECHNOLOGY SOLUTIONS GMBH,FUJITSU TDS GMBH,same,word missing with abbreviation,same,same,,61,72,61,86
COMSCORE,COMSCORE COMSCORE,same,1st word repeated,same,same,,64,100,64,100
COMSCORE,COMSCORE NETWORKS,same,last word extra,same,same,,64,100,64,100
CHINA MOBILE GROUP SICHUAN,CHINA MOBILE GROUP SHANXI,different,last word mismatched,same,different,,90,91,90,90
UNIVERSITY OF NEBRASKA,UNIVERSITY OF NEBRASKA AT KEARNEY,different,last word extra,same,different,,80,100,80,100
UNIVERSITY OF NEBRASKA,UNIVERSITY OF NEBRASKA AT LINCOLN,different,last word extra,same,different,,80,100,80,100
CONAIR,CONAIR,different,,same,different,,100,100,100,100
CONAIR,CONAIR LL ,same,extra character at end,same,same,,75,100,80,100
WHOLE FOODS,WHOLE FOODS MARKET LP,same,2 words extra at end,same,same,,69,100,69,100
WHOLE FOODS,WHOLE FOODS MARKET NA REGION,same,2 words extra at end,same,same,,56,100,56,100
WHOLE FOODS,WHOLE FOODS MARKET SERVICES,same,1 words extra at en1,same,same,,58,100,58,100
YASKAWA ELECTRIC AMERICA,YASKAWA AMERICA,same,2nd word missing,same,same,,77,75,77,100
SPIN VFX,SPIN VFX,different,,different,same,,100,100,100,100
SPIN VFX,SPIN,different,last word missing,different,same,,67,100,67,100
URBAN REDEVELOPMENT AUTHORITY,URBAN REDEVELOPMENT AUTHORITY,different,,different,different,,100,100,100,100
URBAN REDEVELOPMENT AUTHORITY,URBAN RENEWAL AUTHORITY,different,2nd word different,different,different,,77,67,77,79
HATTHA KAKSEKAR,HATTHA BANK,same,last word different,same,same,,69,86,46,71
HANGZHOU WATER INDUSTRY GROUP,HANGZHOU WATER GROUP,same,1 word missing,same,same,,82,86,82,100
HANGZHOU WATER INDUSTRY GROUP,HANGZHOU WATER GROUP XIANGFU WATER PLANT,same,3 words extra,same,same,,64,82,70,82
SUNCORP CORPORATE SERVICES PTY,SUNCORP,same,3 words missing,same,same,,38,100,38,100
SUNCORP CORPORATE SERVICES PTY,SUNCORPMETWAY,same,misspelled,same,same,,47,70,33,33
TIBCO SOFTWARE INDIA,TIBCO,different,2 words missing,different,different,,40,100,40,100
TIBCO SOFTWARE INDIA,TIBCO SOFTWARE,different,last words missing,different,different,,82,100,82,100
TIBCO SOFTWARE,TIBCO,same,last word missing,same,same,,53,100,53,100
ADNOC REFINING,ADNOC REFINING,different,,same,same,,100,100,100,100
ALBERTS ORGANICS,ALBERT'S ORGANICS,same,One extra character,,,,97,94,91,97
ALBERTSONS COMPANIES,ALBERTSON'S COMPANIES,same,One extra character,,,,98,95,93,98
ALCALDIA ENVIGADO,ALCALDIA ENVIGADO,same,,,different name spellings,,100,100,100,100
ALCALDIA ENVIGADO MUNICIPIO ENVIGADO,ALCALDIA ENVIGADO,same,Last 2 words missing,,,,64,100,64,100
ALCOA WORLD ALUMINA BRASIL,ALCOA WORLD ALUMINA,different,,different,segment different,,84,100,84,100
IS GROUP BV,IS GROUP BV,different,,different,same,,100,100,100,100
IS GROUP BV,IS GROUP BV,same,,same,same,,100,100,100,100
KONINKLIJKE KPN NV,KONINKLIJKE KPN NV,different,,different,same,,100,100,100,100
KONINKLIJKE KPN NV,KONINKLIJKE KPN NV,same,,same,same,,100,100,100,100
KPN,KPN,different,,different,same,,100,100,100,100
KPN,KPN,same,,same,same,,100,100,100,100
KPN,KPN BV,different,,different,same,,67,100,67,100
KPN BV,KPN BV,different,,different,same,,100,100,100,100
KPN BV,KPN BV,same,,same,same,,100,100,100,100
KPN BV MOBILE,KPN,different,,different,same,,38,100,38,100
KPN BV MOBILE,KPN BV,different,,different,same,,63,100,63,100
KPN BV MOBILE,KPN BV MOBILE,different,,different,same,,100,100,100,100
KPN CORPORATE MARKET BV,KPN CORPORATE MARKET BV,different,,different,same,,100,100,100,100
KPN CORPORATE MARKET BV,KPN,different,,different,same,,23,100,23,100
KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,different,,different,same,,100,100,100,100
KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,same,,same,same,,100,100,100,100
KPN CORPORATE MARKET BV TAV ACCOUNTS PAYABLE,KPN,different,,different,same,,13,100,13,100
KPN EURORINGS BV,KPN EURORINGS BV,different,,different,same,,100,100,100,100
KPN EURORINGS BV,KPN EURORINGS BV,same,,same,same,,100,100,100,100
KPN EURORINGS BV,KPN,different,,different,same,,32,100,32,100
KPN IT SOLUTIONS,KPN IT SOLUTIONS,different,,different,same,,100,100,100,100
KPN IT SOLUTIONS,KPN,different,,different,same,,32,100,32,100
KPN ITNL,KPN ITNL,different,,different,same,,100,100,100,100
KPN ITNL,KPN ITNL,same,,same,same,,100,100,100,100
KPN ITNL,KPN,different,,different,same,,55,100,55,100
KPN MOBILE HOLDING BV,KPN MOBILE HOLDING BV,different,,different,same,,100,100,100,100
KPN MOBILE HOLDING BV,KPN MOBILE HOLDING BV,same,,same,same,,100,100,100,100
KPN MOBILE HOLDING BV,KPN,different,,different,same,,25,100,25,100
